           TOKEN   REPETICIONES  INCIDENCIAS
0            the             20            4
1             is             10            4
2              a              8            3
3             in              8            4
4           mugs              8            1
5             of              7            2
6             to              7            3
7            for              6            2
8             on              5            1
9           this              5            4
10          file              5            3
11            my              4            2
12           you              4            2
13           has              4            3
14            it              4            3
15          some              4            3
16          text              4            3
17           and              3            1
18           are              3            3
19          edge              3            1
20             i              3            2
21            if              3            2
22          page              3            2
23          with              3            1
24          test              3            2
25           any              2            1
26            be              2            1
27         cards              2            1
28          cups              2            1
29          each              2            1
30          hand              2            1
31          have              2            1
32          home              2            2
33        images              2            1
34          left              2            1
35         march              2            1
36           mug              2            1
37        mystic              2            1
38          name              2            2
39          onte              2            1
40         place              2            1
41       pumpkin              2            1
42          rain              2            1
43      shipping              2            1
44        walrus              2            1
45            we              2            1
46         which              2            1
47          your              2            1
48      designed              2            2
49         gauch              2            2
50           all              2            1
51       content              2            1
52         about              1            1
53     aditional              1            1
54     agreement              1            1
55            am              1            1
56          area              1            1
57    associated              1            1
58         atlas              1            1
59     available              1            1
60          back              1            1
61         being              1            1
62        burger              1            1
63          cafe              1            1
64           can              1            1
65          card              1            1
66        coffee              1            1
67      comments              1            1
68       company              1            1
69    conspiracy              1            1
70      contacts              1            1
71          cost              1            1
72      daubaine              1            1
73   disclaimeri              1            1
74            dr              1            1
75         faces              1            1
76        facing              1            1
77         first              1            1
78         games              1            1
79           get              1            1
80      graphics              1            1
81           guy              1            1
82          hold              1            1
83          idea              1            1
84         image              1            1
85    imprinting              1            1
86          just              1            1
87      koanhead              1            1
88         larry              1            1
89     licensing              1            1
90          like              1            1
91         links              1            1
92          made              1            1
93         means              1            1
94       message              1            1
95       monique              1            1
96          nice              1            1
97           not              1            1
98           now              1            1
99      nussbaum              1            1
100          oit              1            1
101         only              1            1
102      ordered              1            1
103          own              1            1
104        owner              1            1
105       palace              1            1
106        patch              1            1
107       please              1            1
108        price              1            1
109        print              1            1
110      printed              1            1
111     produced              1            1
112        quick              1            1
113    reproduce              1            1
114     resource              1            1
115        right              1            1
116          run              1            1
117         runs              1            1
118         send              1            1
119        soooo              1            1
120        these              1            1
121        until              1            1
122        upall              1            1
123          way              1            1
124          web              1            1
125          who              1            1
126        whole              1            1
127         work              1            1
128        would              1            1
129       handle              1            1
130          how              1            1
131         html              1            1
132  information              1            1
133          phd              1            1
134    retrieval              1            1
135          see              1            1
136        susan              1            1
137         tags              1            1
138      another              1            1
139          big              1            1
140     chemical              1            1
141   cincinnati              1            1
142     compound              1            1
143         cout              1            1
144         csce              1            1
145   department              1            1
146         dime              1            1
147    elephants              1            1
148         gold              1            1
149        grams              1            1
150       joined              1            1
151         live              1            1
152           lt              1            1
153        maybe              1            1
154       nickel              1            1
155        penny              1            1
156       people              1            1
157  punctuation              1            1
158      quarter              1            1
159         ring              1            1
160    sentences              1            1
161         then              1            1
162        there              1            1
163       tricky              1            1
164         were              1            1
165            x              1            1
166     contents              1            1
167      english              1            1
168  interesting              1            1
169         last              1            1
170         much              1            1
171      nothing              1            1
172           or              1            1
173         rare              1            1
174       simple              1            1
175         that              1            1
176         very              1            1
