DOCUMENTO,REPETICIONES
002.html,180.0
003.html,4.0
004.html,7.0
007.html,357.0
008.html,13.0
009.html,127.0
010.html,40.0
011.html,185.0
012.html,7.0
015.html,8.0
016.html,23.0
017.html,1.0
018.html,2.0
019.html,417.0
002.html,146.0
004.html,2.0
007.html,231.0
008.html,5.0
009.html,73.0
010.html,20.0
011.html,50.0
014.html,1.0
015.html,5.0
016.html,8.0
017.html,1.0
018.html,4.0
019.html,178.0
020.html,3.0
002.html,116.0
004.html,3.0
007.html,235.0
008.html,10.0
009.html,71.0
010.html,20.0
011.html,55.0
012.html,6.0
015.html,5.0
016.html,12.0
017.html,5.0
018.html,1.0
019.html,142.0
020.html,1.0
002.html,107.0
003.html,4.0
004.html,3.0
005.html,1.0
007.html,135.0
008.html,12.0
009.html,54.0
010.html,6.0
011.html,63.0
012.html,11.0
015.html,4.0
016.html,8.0
017.html,3.0
019.html,121.0
020.html,1.0
002.html,68.0
003.html,1.0
007.html,98.0
008.html,3.0
009.html,39.0
010.html,4.0
011.html,31.0
015.html,1.0
016.html,18.0
017.html,1.0
018.html,5.0
019.html,111.0
020.html,4.0
002.html,55.0
004.html,2.0
007.html,131.0
008.html,4.0
009.html,46.0
010.html,9.0
011.html,27.0
012.html,1.0
015.html,4.0
016.html,3.0
017.html,3.0
018.html,1.0
019.html,159.0
020.html,2.0
002.html,44.0
005.html,1.0
007.html,77.0
008.html,2.0
009.html,21.0
010.html,3.0
011.html,16.0
015.html,3.0
016.html,10.0
017.html,2.0
018.html,2.0
019.html,51.0
002.html,30.0
007.html,80.0
009.html,30.0
010.html,3.0
011.html,13.0
012.html,1.0
015.html,1.0
016.html,2.0
018.html,2.0
019.html,26.0
002.html,51.0
007.html,52.0
008.html,1.0
009.html,21.0
010.html,5.0
011.html,17.0
012.html,2.0
016.html,5.0
019.html,54.0
002.html,20.0
003.html,1.0
004.html,2.0
007.html,24.0
008.html,2.0
009.html,9.0
010.html,4.0
011.html,18.0
012.html,1.0
015.html,1.0
016.html,5.0
018.html,1.0
019.html,49.0
002.html,17.0
003.html,2.0
007.html,47.0
008.html,5.0
009.html,6.0
010.html,2.0
